mode        	  E   C    COLL   EMIN      PHI     D        npdb    r_MSF  SE_r     esig  SE_esig  eSR   eMR   eLR     e_nc  ncSR  ncMR  ncLR    e_nci nciSR nciMR nciLR
PHI         	  4   4.0   11.0  99.00     0.20   0.00       349    0.656  0.011    0.348  0.007   0.321 0.358 0.380   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.0   11.0  99.00     0.50   0.00       349    0.663  0.010    0.350  0.008   0.332 0.359 0.358   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.0   11.0  99.00     1.00   0.00       349    0.666  0.010    0.362  0.009   0.350 0.372 0.355   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.0   11.0  99.00     2.00   0.00       349    0.665  0.010    0.384  0.010   0.375 0.394 0.362   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.5   11.0  99.00     0.20   0.00       349    0.663  0.010    0.355  0.008   0.332 0.365 0.379   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.5   11.0  99.00     0.50   0.00       349    0.669  0.010    0.356  0.009   0.342 0.365 0.359   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.5   11.0  99.00     1.00   0.00       349    0.671  0.010    0.366  0.009   0.358 0.375 0.352   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   4.5   11.0  99.00     2.00   0.00       349    0.671  0.010    0.385  0.010   0.381 0.395 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   5.0   11.0  99.00     0.20   0.00       349    0.662  0.010    0.362  0.009   0.343 0.371 0.379   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   5.0   11.0  99.00     0.50   0.00       349    0.667  0.010    0.365  0.010   0.353 0.373 0.360   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   5.0   11.0  99.00     1.00   0.00       349    0.669  0.010    0.375  0.010   0.369 0.383 0.355   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  4   5.0   11.0  99.00     2.00   0.00       349    0.669  0.010    0.393  0.011   0.392 0.403 0.358   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0  99.00     0.20   0.00       349    0.655  0.011    0.350  0.007   0.320 0.361 0.386   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0  99.00     0.50   0.00       349    0.663  0.010    0.349  0.007   0.329 0.359 0.361   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0   8.00     1.00   0.00       349    0.666  0.010    0.360  0.008   0.346 0.370 0.356   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0  99.00     1.00   0.00       349    0.666  0.010    0.360  0.008   0.346 0.370 0.356   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0  99.00     2.00   0.00       349    0.666  0.010    0.380  0.009   0.370 0.391 0.361   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0   8.00     4.00   0.00       349    0.663  0.010    0.408  0.010   0.400 0.420 0.374   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0   8.00    20.00   0.00       349    0.645  0.010    0.483  0.013   0.482 0.501 0.412   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0   8.00   100.00   0.00       349    0.620  0.010    0.561  0.015   0.567 0.583 0.450   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.0   11.0   8.00   500.00   0.00       349    0.584  0.010    0.635  0.017   0.652 0.659 0.485   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0  99.00     0.20   0.00       349    0.663  0.010    0.354  0.008   0.328 0.364 0.381   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0  99.00     0.50   0.00       349    0.669  0.010    0.354  0.008   0.337 0.364 0.360   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0   8.00     1.00   0.00       349    0.672  0.010    0.364  0.009   0.353 0.374 0.353   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0  99.00     1.00   0.00       349    0.672  0.010    0.364  0.009   0.353 0.374 0.353   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0  99.00     2.00   0.00       349    0.672  0.010    0.383  0.010   0.376 0.393 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0   8.00     4.00   0.00       349    0.670  0.010    0.409  0.011   0.405 0.420 0.368   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0   8.00    20.00   0.00       349    0.653  0.010    0.483  0.013   0.485 0.499 0.407   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0   8.00   100.00   0.00       349    0.628  0.010    0.560  0.016   0.569 0.581 0.445   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   4.5   11.0   8.00   500.00   0.00       349    0.591  0.010    0.633  0.017   0.652 0.657 0.481   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0  99.00     0.20   0.00       349    0.663  0.010    0.359  0.009   0.336 0.368 0.379   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0  99.00     0.50   0.00       349    0.669  0.010    0.361  0.009   0.347 0.370 0.360   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00     1.00   0.00       349    0.672  0.010    0.371  0.010   0.363 0.381 0.354   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0  99.00     1.00   0.00       349    0.671  0.010    0.371  0.010   0.362 0.380 0.354   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0  99.00     2.00   0.00       349    0.672  0.010    0.390  0.011   0.385 0.400 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00     4.00   0.00       349    0.669  0.010    0.415  0.011   0.414 0.427 0.369   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00    20.00   0.00       349    0.653  0.010    0.487  0.014   0.491 0.503 0.406   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00   100.00   0.00       349    0.628  0.010    0.561  0.016   0.572 0.582 0.444   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
